a,b,c,d,,,,,,P11881
1c5y,2000,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,162
2r2w,2007,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,P55042
1gi7,2002,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,308
1o5c,2004,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,D0EM77
1f5l,2001,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,472
1ejn,2000,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,Q8KFZ1
5za7,2018,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR CHAIN B,,,,,,158
1owe,2003,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,P22894
1sqt,2004,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,467
5za8,2018,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR CHAIN B,,,,,,P62937
1gjc,2002,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,165
1o5a,2004,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,V9HWF5
1c5x,2000,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,165
5za9,2018,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR CHAIN B,,,,,,P62617
5zaf,2018,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR CHAIN B,,,,,,159
5zae,2018,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR CHAIN B,,,,,,Q206Z5
5zag,2018,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR CHAIN B,,,,,,164
5zc5,2018,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR CHAIN B,,,,,,Q1RBS0
5zaj,2018,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR CHAIN B,,,,,,304
1owh,2003,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,P13689
1sqo,2004,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,201
1w0z,2008,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,P0C6Y8
2vnt,2008,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,776
1w11,2008,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,Q2LG68
1w13,2008,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,759
1sqa,2004,,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,,,,,,P02754
3eqr,2008,,ACTIVATED CDC42 KINASE 1,,,,,,178
4iuo,2013,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,Q9HV14
3mam,2011,,OSMOPROTECTION PROTEIN (PROX),,,,,,160
1sw2,2004,,OSMOPROTECTION PROTEIN (PROX),,,,,,P26281
5xmx,2018,,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR DELTA,,,,,,159
5dnu,2016,,SHKAI2IB,,,,,,G7J032
4keq,2014,,4-PYRIDOXOLACTONASE,,,,,,156
5ey0,2016,,GTP-SENSING TRANSCRIPTIONAL PLEIOTROPIC REPRESSOR CODY,,,,,,B7MFQ9
6h38,2018,,CARBONIC ANHYDRASE 7,,,,,,155
6h37,2018,,CARBONIC ANHYDRASE 7,,,,,,Q91HI9
6h36,2018,,CARBONIC ANHYDRASE 7,,,,,,776
1drv,1997,,DIHYDRODIPICOLINATE REDUCTASE,,,,,,C8MLE4
4dy6,2012,,INORGANIC POLYPHOSPHATE/ATP-NAD KINASE 1,,,,,,0
2i2c,2007,,INORGANIC POLYPHOSPHATE/ATP-NAD KINASE,,,,,,Q99W87
5dhu,2016,,NAD KINASE 1,,,,,,0
2pvu,2008,,ARTJ,,,,,,P10153
2q2a,2008,,ARTJ,,,,,,161
3o75,2011,,FRUCTOSE TRANSPORT SYSTEM REPRESSOR FRUR,,,,,,P66034
4csd,2014,,FUCOSE-BINDING LECTIN PROTEIN,,,,,,0
2bt9,2005,,LECTIN,,,,,,P0ABQ4
4exs,2012,,BETA-LACTAMASE NDM-1,,,,,,159
4gki,2012,,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE APHA1-IAB,,,,,,P07435
4gkh,2012,,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE APHA1-IAB,,,,,,159
4few,2012,,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE APHA1-IAB,,,,,,Q9UUB1
4fev,2012,,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE APHA1-IAB,,,,,,159
1drk,1995,,D-RIBOSE-BINDING PROTEIN,,,,,,P00379
2dri,1995,,D-RIBOSE-BINDING PROTEIN,,,,,,0
1drj,1995,,D-RIBOSE-BINDING PROTEIN,,,,,,P0A017
2v2v,2007,,4-DIPHOSPHOCYTIDYL-2-C-METHYL-D-ERYTHRITOL KINASE,,,,,,159
2v2q,2007,,4-DIPHOSPHOCYTIDYL-2-C-METHYL-D-ERYTHRITOL KINASE,,,,,,P02766
2yb0,2011,,DUTPASE,,,,,,147
2yaz,2011,,DUTPASE,,,,,,O88339
2yay,2011,,DUTPASE,,,,,,575
4bup,2013,,HISTONE-LYSINE N-METHYLTRANSFERASE SUV420H1,,,,,,O14786
4mgd,2014,,ESTROGEN RECEPTOR,,,,,,923
2qe4,2007,,ESTROGEN RECEPTOR,,,,,,I6Y8B9
1qkt,2000,,ESTROGEN RECEPTOR,,,,,,0
2ayr,2005,,ESTROGEN RECEPTOR,,,,,,P81245
2pog,2007,,ESTROGEN RECEPTOR,,,,,,157
5dpx,2017,,METALLO-BETA-LACTAMASE L1,,,,,,P15474
2fu8,2007,,METALLO-BETA-LACTAMASE L1,,,,,,157
5evk,2016,,METALLO-BETA-LACTAMASE L1,,,,,,O34667
5evd,2016,,METALLO-BETA-LACTAMASE L1,,,,,,157
5evb,2016,,METALLO-BETA-LACTAMASE L1,,,,,,
2qdt,2007,,METALLO-BETA-LACTAMASE L1,,,,,,
6bhv,2018,,POLY [ADP-RIBOSE] POLYMERASE 1,,,,,,
3i4y,2010,,"CATECHOL 1,2-DIOXYGENASE",,,,,,
3i51,2010,,"CATECHOL 1,2-DIOXYGENASE",,,,,,
4xtw,2015,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
4xu0,2015,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
4xty,2015,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
4xu2,2015,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
4xtv,2015,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
3rux,2011,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
4xu1,2015,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
4xu3,2015,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
4xtz,2015,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
4xtx,2015,,BIFUNCTIONAL LIGASE/REPRESSOR BIRA,,,,,,
4jym,2013,,"HYDROLASE, ALPHA/BETA FOLD FAMILY PROTEIN",,,,,,
4bny,2013,,3-OXOACYL-[ACYL-CARRIER-PROTEIN] REDUCTASE FABG,,,,,,
5l9o,2016,,DEOXYFRUCTOSYL-AMINO ACID TRANSPORTER PERIPLASMIC BINDING,,,,,,
5lom,2016,,DEOXYFRUCTOSYL-AMINO ACID TRANSPORTER PERIPLASMIC BINDING,,,,,,
1n3i,2003,,PURINE NUCLEOSIDE PHOSPHORYLASE,,,,,,
1g2o,2001,,PURINE NUCLEOSIDE PHOSPHORYLASE,,,,,,
2b4l,2006,,GLYCINE BETAINE-BINDING PROTEIN,,,,,,
3hv8,2009,,PROTEIN FIMX,,,,,,
5ulp,2017,,MRNA CAP 0-1 NS5-TYPE METHYLTRANSFERASE,,,,,,
3gdt,2009,,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,,,,,,
1jcx,2002,,2-DEHYDRO-3-DEOXYPHOSPHOOCTONATE ALDOLASE,,,,,,
3.00E+12,2009,,2-DEHYDRO-3-DEOXYPHOSPHOOCTONATE ALDOLASE,,,,,,
1rql,2004,,PHOSPHONOACETALDEHYDE HYDROLASE,,,,,,
1ssq,2004,,SERINE ACETYLTRANSFERASE,,,,,,
1xap,2004,,RETINOIC ACID RECEPTOR BETA,,,,,,
2qtt,2008,,5'-METHYLTHIOADENOSINE NUCLEOSIDASE,,,,,,
3lgs,2010,,5'-METHYLTHIOADENOSINE NUCLEOSIDASE,,,,,,
2qtg,2008,,5'-METHYLTHIOADENOSINE NUCLEOSIDASE,,,,,,
3tao,2011,,TRIOSEPHOSPHATE ISOMERASE,,,,,,
5bw4,2016,,16S RRNA (ADENINE(1408)-N(1))-METHYLTRANSFERASE,,,,,,
1c3x,1999,,PENTOSYLTRANSFERASE,,,,,,
2yz3,2008,,METALLO-BETA-LACTAMASE,,,,,,
3axz,2011,,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE,,,,,,
3ujc,2011,,PHOSPHOETHANOLAMINE N-METHYLTRANSFERASE,,,,,,
3uj9,2011,,PHOSPHOETHANOLAMINE N-METHYLTRANSFERASE,,,,,,
3ujd,2011,,PHOSPHOETHANOLAMINE N-METHYLTRANSFERASE,,,,,,
4l6t,2013,,ECXA,,,,,,
5fsx,2016,,MACRODOMAIN,,,,,,
5fsy,2016,,MACRODOMAIN,,,,,,
5xo7,2018,,LACTONASE FOR PROTEIN,,,,,,
5z7j,2018,,LACTONASE FOR PROTEIN,,,,,,
2r58,2007,,POLYCOMB PROTEIN SCM,,,,,,
2r5a,2007,,POLYCOMB PROTEIN SCM,,,,,,
2v3u,2007,,GLUTAMATE RECEPTOR DELTA-2,,,,,,
5cc2,2015,,GLUTAMATE RECEPTOR DELTA-2,,,,,,
4q90,2015,,CARBONIC ANHYDRASE 2,,,,,,
4jsz,2013,,CARBONIC ANHYDRASE 2,,,,,,
4q8y,2015,,CARBONIC ANHYDRASE 2,,,,,,
4q7w,2015,,CARBONIC ANHYDRASE 2,,,,,,
5th4,2017,,CARBONIC ANHYDRASE 2,,,,,,
5flt,2016,,CARBONIC ANHYDRASE 2,,,,,,
5fng,2016,,CARBONIC ANHYDRASE 2,,,,,,
5flq,2016,,CARBONIC ANHYDRASE 2,,,,,,
5ehw,2016,,CARBONIC ANHYDRASE 2,,,,,,
4q81,2015,,CARBONIC ANHYDRASE 2,,,,,,
5fls,2016,,CARBONIC ANHYDRASE 2,,,,,,
5ehv,2016,,CARBONIC ANHYDRASE 2,,,,,,
5eh8,2016,,CARBONIC ANHYDRASE 2,,,,,,
5flo,2016,,CARBONIC ANHYDRASE 2,,,,,,
4jss,2013,,CARBONIC ANHYDRASE 2,,,,,,
5eh7,2016,,CARBONIC ANHYDRASE 2,,,,,,
4q8x,2015,,CARBONIC ANHYDRASE 2,,,,,,
4q7v,2015,,CARBONIC ANHYDRASE 2,,,,,,
1avn,1997,,CARBONIC ANHYDRASE 2,,,,,,
3kwa,2010,,CARBONIC ANHYDRASE 2,,,,,,
5vgy,2017,,CARBONIC ANHYDRASE 2,,,,,,
4q83,2015,,CARBONIC ANHYDRASE 2,,,,,,
5ti0,2017,,CARBONIC ANHYDRASE 2,,,,,,
4q7p,2015,,CARBONIC ANHYDRASE 2,,,,,,
2ez7,2006,,CARBONIC ANHYDRASE 2,,,,,,
4q7s,2015,,CARBONIC ANHYDRASE 2,,,,,,
5tya,2017,,CARBONIC ANHYDRASE 2,,,,,,
5u0d,2017,,CARBONIC ANHYDRASE 2,,,,,,
5u0g,2017,,CARBONIC ANHYDRASE 2,,,,,,
5gmn,2017,,CARBONIC ANHYDRASE 2,,,,,,
4q87,2015,,CARBONIC ANHYDRASE 2,,,,,,
4jsa,2013,,CARBONIC ANHYDRASE 2,,,,,,
4e3g,2012,,CARBONIC ANHYDRASE 2,,,,,,
3s76,2011,,CARBONIC ANHYDRASE 2,,,,,,
3p4v,2011,,CARBONIC ANHYDRASE 2,,,,,,
5u0e,2017,,CARBONIC ANHYDRASE 2,,,,,,
5ty9,2017,,CARBONIC ANHYDRASE 2,,,,,,
2q38,2007,,CARBONIC ANHYDRASE 2,,,,,,
2x7u,2010,,CARBONIC ANHYDRASE 2,,,,,,
5eij,2016,,CARBONIC ANHYDRASE 2,,,,,,
3hkq,2009,,CARBONIC ANHYDRASE 2,,,,,,
3hkn,2009,,CARBONIC ANHYDRASE 2,,,,,,
3m1k,2010,,CARBONIC ANHYDRASE 2,,,,,,
3hkt,2009,,CARBONIC ANHYDRASE 2,,,,,,
5txy,2017,,CARBONIC ANHYDRASE 2,,,,,,
6c7w,2018,,CARBONIC ANHYDRASE 2,,,,,,
5u0f,2017,,CARBONIC ANHYDRASE 2,,,,,,
3bl1,2008,,CARBONIC ANHYDRASE 2,,,,,,
6h29,2018,,CARBONIC ANHYDRASE 2,,,,,,
5wgp,2018,,CARBONIC ANHYDRASE 2,,,,,,
6cjv,2018,,CARBONIC ANHYDRASE 2,,,,,,
2h15,2007,,CARBONIC ANHYDRASE 2,,,,,,
3oil,2011,,CARBONIC ANHYDRASE 2,,,,,,
4q9y,2015,,CARBONIC ANHYDRASE 2,,,,,,
5eh5,2016,,CARBONIC ANHYDRASE 2,,,,,,
2weh,2009,,CARBONIC ANHYDRASE 2,,,,,,
4yx4,2016,,CARBONIC ANHYDRASE 2,,,,,,
1okl,1997,,CARBONIC ANHYDRASE 2,,,,,,
2wej,2009,,CARBONIC ANHYDRASE 2,,,,,,
6b4d,2018,,CARBONIC ANHYDRASE 2,,,,,,
4zx1,2015,,CARBONIC ANHYDRASE 2,,,,,,
4q6e,2014,,CARBONIC ANHYDRASE 2,,,,,,
2o4z,2007,,CARBONIC ANHYDRASE 2,,,,,,
4q99,2015,,CARBONIC ANHYDRASE 2,,,,,,
4q08,2015,,CARBONIC ANHYDRASE 2,,,,,,
5ekm,2016,,CARBONIC ANHYDRASE 2,,,,,,
1xq0,2005,,CARBONIC ANHYDRASE 2,,,,,,
3oku,2011,,CARBONIC ANHYDRASE 2,,,,,,
6equ,2017,,CARBONIC ANHYDRASE 2,,,,,,
4yyt,2016,,CARBONIC ANHYDRASE 2,,,,,,
5nya,2018,,CARBONIC ANHYDRASE 2,,,,,,
3s72,2011,,CARBONIC ANHYDRASE 2,,,,,,
3r17,2011,,CARBONIC ANHYDRASE 2,,,,,,
6eeo,2018,,CARBONIC ANHYDRASE 2,,,,,,
5ny1,2018,,CARBONIC ANHYDRASE 2,,,,,,
3s78,2011,,CARBONIC ANHYDRASE 2,,,,,,
3mho,2010,,CARBONIC ANHYDRASE 2,,,,,,
4yxi,2016,,CARBONIC ANHYDRASE 2,,,,,,
2weg,2009,,CARBONIC ANHYDRASE 2,,,,,,
1yda,1995,,CARBONIC ANHYDRASE 2,,,,,,
6ecz,2018,,CARBONIC ANHYDRASE 2,,,,,,
2x7t,2010,,CARBONIC ANHYDRASE 2,,,,,,
3mzc,2011,,CARBONIC ANHYDRASE 2,,,,,,
5nxi,2018,,CARBONIC ANHYDRASE 2,,,,,,
3mhi,2010,,CARBONIC ANHYDRASE 2,,,,,,
6ebe,2018,,CARBONIC ANHYDRASE 2,,,,,,
4r5b,2014,,CARBONIC ANHYDRASE 2,,,,,,
3oim,2011,,CARBONIC ANHYDRASE 2,,,,,,
3m67,2010,,CARBONIC ANHYDRASE 2,,,,,,
3m40,2010,,CARBONIC ANHYDRASE 2,,,,,,
3m3x,2010,,CARBONIC ANHYDRASE 2,,,,,,
3s75,2011,,CARBONIC ANHYDRASE 2,,,,,,
4qy3,2014,,CARBONIC ANHYDRASE 2,,,,,,
3bl0,2008,,CARBONIC ANHYDRASE 2,,,,,,
4qtl,2015,,CARBONIC ANHYDRASE 2,,,,,,
2weo,2009,,CARBONIC ANHYDRASE 2,,,,,,
4rn4,2015,,CARBONIC ANHYDRASE 2,,,,,,
3t84,2011,,CARBONIC ANHYDRASE 2,,,,,,
3t83,2011,,CARBONIC ANHYDRASE 2,,,,,,
3mhm,2010,,CARBONIC ANHYDRASE 2,,,,,,
3t82,2011,,CARBONIC ANHYDRASE 2,,,,,,
4riv,2015,,CARBONIC ANHYDRASE 2,,,,,,
5sz6,2016,,CARBONIC ANHYDRASE 2,,,,,,
3n4b,2011,,CARBONIC ANHYDRASE 2,,,,,,
3igp,2010,,CARBONIC ANHYDRASE 2,,,,,,
5e2r,2015,,CARBONIC ANHYDRASE 2,,,,,,
3po6,2011,,CARBONIC ANHYDRASE 2,,,,,,
3ryv,2011,,CARBONIC ANHYDRASE 2,,,,,,
1ydd,1995,,CARBONIC ANHYDRASE 2,,,,,,
1xpz,2005,,CARBONIC ANHYDRASE 2,,,,,,
2pov,2007,,CARBONIC ANHYDRASE 2,,,,,,
3ffp,2009,,CARBONIC ANHYDRASE 2,,,,,,
5wex,2017,,CARBONIC ANHYDRASE 2,,,,,,
6c7x,2018,,CARBONIC ANHYDRASE 2,,,,,,
1z9y,2006,,CARBONIC ANHYDRASE 2,,,,,,
2pow,2007,,CARBONIC ANHYDRASE 2,,,,,,
3k2f,2009,,CARBONIC ANHYDRASE 2,,,,,,
3s77,2011,,CARBONIC ANHYDRASE 2,,,,,,
5tfx,2017,,CARBONIC ANHYDRASE 2,,,,,,
2hnc,2006,,CARBONIC ANHYDRASE 2,,,,,,
3m96,2011,,CARBONIC ANHYDRASE 2,,,,,,
3f8e,2009,,CARBONIC ANHYDRASE 2,,,,,,
6g3q,2018,,CARBONIC ANHYDRASE 2,,,,,,
5nxw,2018,,CARBONIC ANHYDRASE 2,,,,,,
3mhl,2010,,CARBONIC ANHYDRASE 2,,,,,,
4itp,2014,,CARBONIC ANHYDRASE 2,,,,,,
4m2w,2013,,CARBONIC ANHYDRASE 2,,,,,,
4iwz,2013,,CARBONIC ANHYDRASE 2,,,,,,
3r16,2011,,CARBONIC ANHYDRASE 2,,,,,,
3n0n,2011,,CARBONIC ANHYDRASE 2,,,,,,
4riu,2015,,CARBONIC ANHYDRASE 2,,,,,,
1zge,2006,,CARBONIC ANHYDRASE 2,,,,,,
1ttm,2004,,CARBONIC ANHYDRASE 2,,,,,,
4q6d,2014,,CARBONIC ANHYDRASE 2,,,,,,
3m5e,2010,,CARBONIC ANHYDRASE 2,,,,,,
1cnx,1995,,CARBONIC ANHYDRASE 2,,,,,,
3mna,2011,,CARBONIC ANHYDRASE 2,,,,,,
3p5l,2011,,CARBONIC ANHYDRASE 2,,,,,,
2pou,2007,,CARBONIC ANHYDRASE 2,,,,,,
3ryy,2011,,CARBONIC ANHYDRASE 2,,,,,,
3mmf,2011,,CARBONIC ANHYDRASE 2,,,,,,
4m2v,2013,,CARBONIC ANHYDRASE 2,,,,,,
5fdc,2016,,CARBONIC ANHYDRASE 2,,,,,,
5o07,2017,,CARBONIC ANHYDRASE 2,,,,,,
5ny3,2018,,CARBONIC ANHYDRASE 2,,,,,,
5byi,2015,,CARBONIC ANHYDRASE 2,,,,,,
3myq,2011,,CARBONIC ANHYDRASE 2,,,,,,
1zfq,2006,,CARBONIC ANHYDRASE 2,,,,,,
3rz0,2011,,CARBONIC ANHYDRASE 2,,,,,,
3ni5,2011,,CARBONIC ANHYDRASE 2,,,,,,
3t5u,2012,,CARBONIC ANHYDRASE 2,,,,,,
3p58,2011,,CARBONIC ANHYDRASE 2,,,,,,
3ibn,2009,,CARBONIC ANHYDRASE 2,,,,,,
2hl4,2007,,CARBONIC ANHYDRASE 2,,,,,,
4ruz,2015,,CARBONIC ANHYDRASE 2,,,,,,
5sz5,2016,,CARBONIC ANHYDRASE 2,,,,,,
1cnw,1995,,CARBONIC ANHYDRASE 2,,,,,,
5fdi,2016,,CARBONIC ANHYDRASE 2,,,,,,
3nb5,2011,,CARBONIC ANHYDRASE 2,,,,,,
4kni,2013,,CARBONIC ANHYDRASE 2,,,,,,
5n25,2017,,CARBONIC ANHYDRASE 2,,,,,,
3ryj,2011,,CARBONIC ANHYDRASE 2,,,,,,
3n2p,2011,,CARBONIC ANHYDRASE 2,,,,,,
3ibl,2009,,CARBONIC ANHYDRASE 2,,,,,,
3dd8,2008,,CARBONIC ANHYDRASE 2,,,,,,
1cny,1995,,CARBONIC ANHYDRASE 2,,,,,,
5uln,2017,,CARBONIC ANHYDRASE 2,,,,,,
3rz5,2011,,CARBONIC ANHYDRASE 2,,,,,,
4ruy,2015,,CARBONIC ANHYDRASE 2,,,,,,
5.00E+28,2016,,CARBONIC ANHYDRASE 2,,,,,,
4rux,2015,,CARBONIC ANHYDRASE 2,,,,,,
3eft,2009,,CARBONIC ANHYDRASE 2,,,,,,
3daz,2009,,CARBONIC ANHYDRASE 2,,,,,,
5n1r,2017,,CARBONIC ANHYDRASE 2,,,,,,
3t85,2011,,CARBONIC ANHYDRASE 2,,,,,,
4knj,2013,,CARBONIC ANHYDRASE 2,,,,,,
3mhc,2010,,CARBONIC ANHYDRASE 2,,,,,,
4r59,2014,,CARBONIC ANHYDRASE 2,,,,,,
5nxp,2018,,CARBONIC ANHYDRASE 2,,,,,,
3oyq,2011,,CARBONIC ANHYDRASE 2,,,,,,
5n1s,2017,,CARBONIC ANHYDRASE 2,,,,,,
4mo8,2013,,CARBONIC ANHYDRASE 2,,,,,,
3hs4,2009,,CARBONIC ANHYDRASE 2,,,,,,
4zx0,2015,,CARBONIC ANHYDRASE 2,,,,,,
4ht0,2013,,CARBONIC ANHYDRASE 2,,,,,,
3oy0,2011,,CARBONIC ANHYDRASE 2,,,,,,
5e2k,2016,,CARBONIC ANHYDRASE 2,,,,,,
4m2u,2013,,CARBONIC ANHYDRASE 2,,,,,,
4rfd,2015,,CARBONIC ANHYDRASE 2,,,,,,
3ml2,2011,,CARBONIC ANHYDRASE 2,,,,,,
3dbu,2009,,CARBONIC ANHYDRASE 2,,,,,,
3vbd,2012,,CARBONIC ANHYDRASE 2,,,,,,
6b59,2018,,CARBONIC ANHYDRASE 2,,,,,,
4z1j,2015,,CARBONIC ANHYDRASE 2,,,,,,
3b4f,2008,,CARBONIC ANHYDRASE 2,,,,,,
3ryx,2011,,CARBONIC ANHYDRASE 2,,,,,,
2q1q,2007,,CARBONIC ANHYDRASE 2,,,,,,
3d8w,2009,,CARBONIC ANHYDRASE 2,,,,,,
4z0q,2015,,CARBONIC ANHYDRASE 2,,,,,,
4q09,2015,,CARBONIC ANHYDRASE 2,,,,,,
3rz8,2011,,CARBONIC ANHYDRASE 2,,,,,,
5amg,2015,,CARBONIC ANHYDRASE 2,,,,,,
1ydb,1995,,CARBONIC ANHYDRASE 2,,,,,,
4z1e,2015,,CARBONIC ANHYDRASE 2,,,,,,
4rfc,2015,,CARBONIC ANHYDRASE 2,,,,,,
1g4o,2000,,CARBONIC ANHYDRASE 2,,,,,,
5j8z,2016,,CARBONIC ANHYDRASE 2,,,,,,
3hku,2009,,CARBONIC ANHYDRASE 2,,,,,,
5nxo,2018,,CARBONIC ANHYDRASE 2,,,,,,
3dc3,2009,,CARBONIC ANHYDRASE 2,,,,,,
4z1k,2015,,CARBONIC ANHYDRASE 2,,,,,,
4bf6,2014,,CARBONIC ANHYDRASE 2,,,,,,
1g48,2000,,CARBONIC ANHYDRASE 2,,,,,,
1i9p,2001,,CARBONIC ANHYDRASE 2,,,,,,
5n0e,2017,,CARBONIC ANHYDRASE 2,,,,,,
3n3j,2011,,CARBONIC ANHYDRASE 2,,,,,,
5n0d,2017,,CARBONIC ANHYDRASE 2,,,,,,
4m2r,2013,,CARBONIC ANHYDRASE 2,,,,,,
5mjn,2017,,CARBONIC ANHYDRASE 2,,,,,,
5nxg,2018,,CARBONIC ANHYDRASE 2,,,,,,
5amd,2015,,CARBONIC ANHYDRASE 2,,,,,,
3v7x,2012,,CARBONIC ANHYDRASE 2,,,,,,
3ibi,2009,,CARBONIC ANHYDRASE 2,,,,,,
5sz3,2016,,CARBONIC ANHYDRASE 2,,,,,,
4bf1,2014,,CARBONIC ANHYDRASE 2,,,,,,
3ryz,2011,,CARBONIC ANHYDRASE 2,,,,,,
3s71,2011,,CARBONIC ANHYDRASE 2,,,,,,
1g45,2000,,CARBONIC ANHYDRASE 2,,,,,,
1i9n,2001,,CARBONIC ANHYDRASE 2,,,,,,
2h4n,1997,,CARBONIC ANHYDRASE 2,,,,,,
1bcd,1993,,CARBONIC ANHYDRASE 2,,,,,,
4r5a,2014,,CARBONIC ANHYDRASE 2,,,,,,
4zwx,2015,,CARBONIC ANHYDRASE 2,,,,,,
4zwz,2015,,CARBONIC ANHYDRASE 2,,,,,,
3s73,2011,,CARBONIC ANHYDRASE 2,,,,,,
3d9z,2009,,CARBONIC ANHYDRASE 2,,,,,,
5sz2,2016,,CARBONIC ANHYDRASE 2,,,,,,
3rz1,2011,,CARBONIC ANHYDRASE 2,,,,,,
1bnv,1999,,CARBONIC ANHYDRASE 2,,,,,,
1g46,2000,,CARBONIC ANHYDRASE 2,,,,,,
1g54,2000,,CARBONIC ANHYDRASE 2,,,,,,
5ljt,2017,,CARBONIC ANHYDRASE 2,,,,,,
5n24,2017,,CARBONIC ANHYDRASE 2,,,,,,
5sz1,2016,,CARBONIC ANHYDRASE 2,,,,,,
3dcc,2009,,CARBONIC ANHYDRASE 2,,,,,,
3rz7,2011,,CARBONIC ANHYDRASE 2,,,,,,
3dd0,2009,,CARBONIC ANHYDRASE 2,,,,,,
5ljq,2017,,CARBONIC ANHYDRASE 2,,,,,,
5e2s,2016,,CARBONIC ANHYDRASE 2,,,,,,
1g53,2000,,CARBONIC ANHYDRASE 2,,,,,,
1bnw,1999,,CARBONIC ANHYDRASE 2,,,,,,
5sz0,2016,,CARBONIC ANHYDRASE 2,,,,,,
5aml,2015,,CARBONIC ANHYDRASE 2,,,,,,
3ibu,2009,,CARBONIC ANHYDRASE 2,,,,,,
6h33,2018,,CARBONIC ANHYDRASE 2,,,,,,
6h34,2018,,CARBONIC ANHYDRASE 2,,,,,,
6h2z,2018,,CARBONIC ANHYDRASE 2,,,,,,
1bn4,1999,,CARBONIC ANHYDRASE 2,,,,,,
1bn1,1999,,CARBONIC ANHYDRASE 2,,,,,,
6got,2018,,CARBONIC ANHYDRASE 2,,,,,,
1g1d,2000,,CARBONIC ANHYDRASE 2,,,,,,
1bnq,1999,,CARBONIC ANHYDRASE 2,,,,,,
2hoc,2006,,CARBONIC ANHYDRASE 2,,,,,,
5llc,2017,,CARBONIC ANHYDRASE 2,,,,,,
1g52,2000,,CARBONIC ANHYDRASE 2,,,,,,
1if8,2001,,CARBONIC ANHYDRASE 2,,,,,,
1bnu,1999,,CARBONIC ANHYDRASE 2,,,,,,
5sz4,2016,,CARBONIC ANHYDRASE 2,,,,,,
5sz7,2016,,CARBONIC ANHYDRASE 2,,,,,,
1bnt,1999,,CARBONIC ANHYDRASE 2,,,,,,
1bn3,1999,,CARBONIC ANHYDRASE 2,,,,,,
1bnn,1999,,CARBONIC ANHYDRASE 2,,,,,,
5llh,2017,,CARBONIC ANHYDRASE 2,,,,,,
5lle,2017,,CARBONIC ANHYDRASE 2,,,,,,
5nea,2017,,CARBONIC ANHYDRASE 2,,,,,,
1if7,2001,,CARBONIC ANHYDRASE 2,,,,,,
5nee,2017,,CARBONIC ANHYDRASE 2,,,,,,
5llg,2017,,CARBONIC ANHYDRASE 2,,,,,,
1yvm,2005,,METHIONINE AMINOPEPTIDASE,,,,,,
4f5y,2012,,TRANSMEMBRANE PROTEIN 173,,,,,,
4qxo,2014,,STIMULATOR OF INTERFERON GENES PROTEIN,,,,,,
4loi,2013,,STIMULATOR OF INTERFERON GENES PROTEIN,,,,,,
4loh,2013,,STIMULATOR OF INTERFERON GENES PROTEIN,,,,,,
